iter	RMSE
0	14.52805385
1	14.09534763
2	13.6401349
3	13.22825005
4	12.79105287
5	12.47197672
6	12.12619902
7	11.80260347
8	11.50629347
9	11.16259666
10	10.85731128
11	10.59361137
12	10.35069154
13	10.08233467
14	9.845155286
15	9.589255602
16	9.341852268
17	9.138920064
18	8.922240111
19	8.73251067
20	8.552809605
21	8.391091325
22	8.217401405
23	8.048622813
24	7.90651169
25	7.765467126
26	7.62923494
27	7.50468986
28	7.387538392
29	7.282804162
30	7.186395716
31	7.088813625
32	6.989200813
33	6.903450094
34	6.805188532
35	6.719169577
36	6.639210822
37	6.57448954
38	6.498972766
39	6.431864699
40	6.384638435
41	6.340492438
42	6.278101723
43	6.229867982
44	6.176308828
45	6.132766678
46	6.080656448
47	6.035005789
48	5.98629946
49	5.944000037
50	5.906479716
51	5.871263149
52	5.837974525
53	5.805041094
54	5.774933935
55	5.752776312
56	5.727629779
57	5.700403568
58	5.67674412
59	5.647797193
60	5.623415158
61	5.600541055
62	5.571339266
63	5.546137844
64	5.525059048
65	5.505386622
66	5.483050614
67	5.460379932
68	5.445329334
69	5.425228643
70	5.408399495
71	5.388467405
72	5.375062273
73	5.359998268
74	5.348572933
75	5.330066488
76	5.317937039
77	5.305212624
78	5.295011327
79	5.281297044
80	5.268840937
81	5.258792603
82	5.25459292
83	5.242399181
84	5.226103977
85	5.213976282
86	5.204343985
87	5.194035999
88	5.1799757
89	5.173334829
90	5.166249223
91	5.160047722
92	5.150978112
93	5.142221043
94	5.13741855
95	5.125529088
96	5.113589052
97	5.107669773
98	5.093213374
99	5.080447824
