iter	Passed	Remaining
0	1	138
1	2	126
2	3	123
3	4	118
4	6	116
5	7	113
6	8	112
7	9	105
8	9	99
9	10	97
10	11	95
11	12	91
12	13	89
13	14	88
14	15	85
15	15	83
16	16	82
17	17	80
18	18	78
19	19	77
20	20	75
21	21	74
22	22	74
23	23	73
24	24	72
25	25	72
26	26	71
27	27	70
28	28	68
29	28	67
30	30	67
31	31	66
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	46	50
48	47	49
49	48	48
50	49	47
51	50	47
52	52	46
53	53	45
54	53	44
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	59	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	28
71	69	26
72	70	26
73	71	25
74	72	24
75	72	22
76	73	22
77	74	21
78	75	20
79	77	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	90	3
96	91	2
97	92	1
98	94	0
99	95	0
